mijn	mijn	pron(poss)
siele	ziel	n(sing)
verlanct	verlangen	V(fin,pres,lex)
ick	ik	Pron(pers,1,sing)
hoep	hopen	V(fin,pres,lex)
op	op	Adp()
u	uw	Pron(poss)
woordt	woord	N(sing)
en	en	Conj(coord)
mijn	mijn	Pron(poss)
ooghen	oog	N(plu)
cranck	krank	adj()
seggen	zeggen	V(infin)
wanneer	wanneer	adv(inter)
sult	zullen	v(fin,pres,aux_cop)
mijn	mijn	Pron(poss)
troost	troost	N(sing)
syne	zijn	Pron(poss)
ick	ik	Pron(pers,1,sing)
ben	zijn	V(fin,pres,aux_cop)
glijck	gelijk	N(sing)
een	een	Art(indef)
flesch	vlees	n(sing)
inden	in+de	adp()+art(def)
rijme	riem	n(sing)
u	uw	Pron(poss)
rechten	recht	V(infin)
ick	ik	Pron(pers,1,sing)
niet	niet	Adv(neg)
en	en	Adv(neg)
verghete	vergeten	v(fin,pres,lex)
slecht	slecht	Adj()
wanneer	wanneer	Adv(inter)
wilt	willen	V(fin,pres,aux_cop)
ghy	gij	Pron(pers,2,plu)
tvonnis	antonius	Art(def)+N(sing)
wtspreken	uitspreken	V(infin)
te	te	adp()
recht	recht	n(sing)
ouer	over	adp()
de	de	Art(def)
stoute	stout	adj()
die	die	Pron(rel)
my	ik	Pron(pers,1,sing)
so	zo	adv(resum)
veruolghen	vervolgen	V(infin)
en	en	adv(neg)
die	die	Pron(rel)
voor	voor	Adp()
my	ik	Pron(pers,1,sing)
so	zo	Adv(resum)
kuylen	kuil	V(infin)
doluen	delven	v(infin)
u	gij	Pron(poss)
geboden	gebod	v(participle,past)
syn	zijn	Pron(poss)
